home_team,away_team,posteam,side_of_field,yardline_100,half_seconds_remaining,game_seconds_remaining,game_half,down,ydstogo,ydsnet,yards_gained,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt,penalty
IND,HOU,HOU,IND,31,227,2027,Half1,4,1,68,10,-13,1,0,0,0,0
NE,MIA,MIA,NE,44,1585,1585,Half2,4,1,24,2,-6,1,0,0,0,0
NE,MIA,MIA,MIA,73,174,174,Half2,4,15,13,0,-7,0,1,0,0,0
TB,GB,TB,GB,7,260,260,Half2,4,4,72,7,-6,1,0,0,0,0
TB,GB,GB,GB,89,52,52,Half2,4,12,-2,0,-2,0,1,0,0,0
TB,GB,GB,TB,35,5,5,Half2,4,1,22,0,-8,0,1,0,0,0
NO,CAR,CAR,NO,43,171,171,Half2,4,8,32,-5,-3,0,1,0,0,0
NO,CAR,CAR,NO,2,22,22,Half2,4,2,75,0,-9,0,1,0,0,0
SEA,DET,SEA,SEA,62,1120,2920,Half1,4,1,9,0,-14,0,1,0,0,0
NYG,SD,NYG,SD,21,1373,3173,Half1,4,1,60,-8,0,0,1,0,0,0
SF,TEN,SF,TEN,15,787,787,Half2,4,1,66,5,0,1,0,0,0,0
SF,TEN,TEN,SF,2,438,438,Half2,4,1,81,2,-3,1,0,0,0,0
SF,TEN,SF,TEN,34,104,104,Half2,4,1,65,8,-13,1,0,0,0,1
SF,TEN,SF,TEN,9,86,86,Half2,4,6,75,6,-13,1,0,0,0,0
PHI,DAL,PHI,DAL,45,661,661,Half2,4,1,30,0,0,0,1,0,0,0
SF,CHI,SF,CHI,46,1474,1474,Half2,4,1,9,0,4,0,1,0,0,0
CAR,ATL,ATL,CAR,3,830,830,Half2,4,1,59,3,-8,1,0,0,0,0
CAR,ATL,ATL,ATL,69,102,102,Half2,4,10,19,8,-9,0,1,0,0,0
CAR,ATL,CAR,ATL,33,2,2,Half2,4,4,6,0,9,0,1,0,0,0
WAS,DEN,WAS,DEN,35,399,2199,Half1,4,20,59,35,-7,1,0,0,0,0
WAS,DEN,WAS,DEN,28,1177,1177,Half2,4,1,38,-2,-3,0,1,0,0,0
WAS,DEN,DEN,DEN,73,140,140,Half2,4,10,0,0,-7,0,1,0,0,0
WAS,DEN,DEN,DEN,81,3,3,Half2,4,17,-7,0,-10,0,1,0,0,0
TEN,BUF,BUF,BUF,55,141,141,Half2,4,14,-4,0,-16,0,1,0,0,0
STL,NO,NO,STL,31,437,437,Half2,4,2,44,-1,11,0,1,0,0,0
STL,NO,STL,STL,59,390,390,Half2,4,1,8,-1,-11,0,1,0,0,0
STL,NO,STL,STL,61,81,81,Half2,4,4,28,9,-5,1,0,0,0,0
STL,NO,STL,NO,32,1,1,Half2,4,1,48,0,-5,0,1,0,0,0
PIT,CIN,PIT,CIN,12,815,815,Half2,4,1,39,1,-3,1,0,0,0,0
PIT,CIN,PIT,PIT,67,91,91,Half2,4,10,0,0,-6,0,1,0,0,0
NYJ,JAC,JAC,NYJ,34,254,2054,Half1,4,4,59,7,4,1,0,0,0,0
NYJ,JAC,NYJ,JAC,15,316,316,Half2,4,1,76,14,-5,1,0,0,0,0
MIA,TB,TB,MIA,22,130,130,Half2,4,6,46,0,-6,0,1,0,0,0
MIN,DET,MIN,DET,8,266,2066,Half1,4,1,69,0,10,0,1,0,0,0
